text,pred_label,true_label
야 네 개 맞았어 네 개. 야 이거 어떡할거야. 우아. l,4,1
엄마.,0,2
b 지 지섭씨.,1,0
잠깐만진짜 대박이다. 허어. 와 이런 정성이 있어야지 로또가 당첨되는구나. n 내가 오늘 당첨될 줄 알았어. 오늘 오늘의 운세를 보더니 좀 희 희한했거든.,0,4
아 이게 무슨 소리에요 김 대리.,1,2
고마워. n 근데 오빠는 꿈이 뭐야?,0,4
o b 아 알았어.,4,0
좀야 로또 1등 된 사람만 쫓아다니면서 그 돈 뺐고 구걸하는 사람이 있다잖아. 그거 그거 혹 그게 그게 혹시 모르니까 그건 이건 너랑 나랑만 아는 그 비밀이다 알기 알았지?,0,4
짰다고?,0,2
나 왔어어 왔어?,0,4
마지막 하나 마지막 하나 제발 n 제발.,1,4
o 지섭씨. 지섭씨.,0,1
팀장님 말씀이 좀 지나치시것 같은데,2,0
요리 어디서 배웠어요?,2,0
미쳤다 야.,4,1
이게그런 그러니까.,1,0
뭐지? 어? n,1,0
n ?,0,1
아니 부장님 부장님 그게 아니라요. 그때 분명히 저한테 말씀하셨잖아요. 거기 추가 비용으로 그거 지원 나가고 그리고 회계적으로 그거 그냥 대충 쓰자고 써가지고 그냥 맞추기만 하신다고 그때그때 저한테 말씀하셨는데 왜 갑자기. 징계위원회,2,0
b 음 맛있다. b 근데 자긴 안 먹어?,0,4
우아 네 개 야 네 개 맞았어. 우아 씨 야 이거 어떡할거야 이거 야 진짜.,4,1
네. 분하고 화나고.,3,2
그니까 아니 그 매운맛 강하게 한 거 말고 b 이거 그 b 오일 예 어떻게 했냐고요.,2,0
o 자기야.,4,0
b 그래요 아니 오일은 그렇다 칩시다 근데 양은 양 조절을 못 했으니까 이렇게 텁텁한 맛이 나는 거 아니에요 지금. 예?,2,0
b n 저 이 핸드폰에요. n 부장님이 전무님하고 저한테 했던 말 다 녹음돼있습니다. 기억하시죠? 저한테 뭐라고 하셨는지.,0,2
에이 설마.,1,0
예 잘됐네요. 예. 그만하세요. 그런 식으로 인기로 주목받아서 요리하실 거면.,2,0
아 아니 오늘 해 줘.,0,4
너 그렇게 어? 감정 꽁꽁 참고 있다가 진짜,0,3
네 지금 제가 책임잔데요.,2,0
아이 그게 아니라 아이 갑자기 그러니까 당연히 당황하지.,1,4
아니야. 엄마도 너 나이땐 다 그랬어.,3,0
아니 그 난 그 말이 아니라,0,1
아 진짜 아 그만해 좀 거.,3,0
1억이라. 음 좋아 야 돈 찾으면 바로 현금으로 줄게.,0,4
아니 그건 아니구.,1,0
지금 방금 손님한테 나간 짬뽕 어떻게 만드실려 하신 거죠?,2,0
아 됐어.,3,2
그래서요? 성질나요? 막 분해요? 막 열 받어? 짜증나요? 예?,2,0
에휴 참나.,4,0
여깄어요.,2,4
무슨 문제가 있나요?,2,0
이젠 안 만나.,0,2
아 됐어.,3,2
이미 늦었어.,3,2
아니 그래두 오 o 오타 난걸로.,4,2
아 뭘 어떡해. 씨 이왕 이렇게 된 거 확실하게 해야지.,2,0
무슨 소리야?,0,1
빨 빨 n 빨리 병원 가자. o,4,0
미장원에서 샴푸하면서 동네 아줌마들 주는 팁 좀 모았지. n 으이그 오빠는 돈 걱정 하지마 내가 먹여 살릴게.,0,4
인성? 요리사가 인성이 왜 필요해요? o 요리만 맛있으면 됐지.,0,2
.,0,2
전무님이랑 부장님이랑 저한테 처음에 하셨던 말씀 기억하세요?,0,2
한 번 얘기할 때 똑바로 들어야지.,2,0
아 따 따가워 살살해.,1,0
미안한데.,3,2
b 아 알았어. 그러면 윤서 윤서 빨리 시집만 보내고 너 죽으면 나도 빠로 빨리 따라 죽을게. 어. l,0,4
아니 무슨 최선을 다하셨던 거예요? 최선을 다했으면 그런 걸 좀 막아주셔야 되는 거 아닙니까,0,2
에휴 참나.,4,0
b 몰라. o b 아 몰라 어떡해. o,1,0
됐어아 가만 있어 봐. 여기 살짝 긁힌 게 아닌데?,0,1
안 봐?,0,2
l 아유 u 진짜 내가 아유 참 나. l,0,4
제가 그걸 어디서 봤을까요?,2,0
꼭 뭐? 아니 뭐 의사가 왜 이렇게 어? 소독도 제대로 못 하고.,0,4
내가 죽으면 어떡할거냐고.,4,0
b o u 뭐 뭐야 뭐야. b 어디서 나타난 거야? b,0,1
고아 몰라 아 그게 당첨 되겠냐? 하 씨 b 아이고 어떤 여자가 될 지 모르겠지만 b 오빠같은 남자랑 결혼 할 여자가 아주 불쌍하다 불쌍해,0,2
.,0,1
도대체 몇 개야? 하나 둘 셋 u.,1,0
아유 이뻐 죽겠네.,0,4
아니 내가 다이아몬드나 뭐 사파이어 이정도 아니라 생각해도 나도 뭐 어디 n 응? 어디가서 꿀리지 않는 사람이라고 생각했는데 n 김 부장.,0,3
l 얼른 들어가 자자 우리.,0,4
알겠어요.,3,4
응 n,0,4
책임지셔야죠.,2,0
?,1,3
아 아닙니다 저야 위에분들이 워낙 잘해주시니까.,2,4
1억? 1억. b 그래 o 콜. 야 돈 찾으면 내가 그럼 바로 현금으로 줄게.,4,0
저쪽에.,1,4
그니까 지금 어느 부분에서 저한테 어떤 게 잘못됐다고 말씀하시는 o 지를 모르겠는데요.,2,0
뭐야 시간 벌써 이렇게 됐네. n 드라마 봐야지. 뭐야. 오빠 불 꺼놓고 u 거실에서 뭐 하냐?,0,1
?,1,0
.,0,2
생각난다뭔 소리야 o N 아우 피곤하다. 아오 갑자기 집에 오니까 너무 피곤해졌어.,0,4
함 봐바요 지금 이 짬뽕이 지금 제대로 된 짬뽕인가. n o 예?,0,2
아 뭐야 나 말 안할래.,0,2
o N 뭐 좋은 이야기라고 참. n 아이 그때 자기가 장염인 줄 알았으면 내가 그렇게 했겠나. 어? 진짜.,4,0
알겠습니다. 그러면 하나만 묻고 싶어요. 제 아이디어는 왜 발탁이 안된거에요? 남의 아이디어가 더 뛰어나서 그랬다 이런 식의 뻔한 답변은 안 해주실거라고 믿습니다.,2,0
o 아 진짜미안해 o 하지만 어? 다음에 만날 땐 내가 꼭 멋진 선물 사줄게. 내가 지금은 o 열심히 일하면 제주도 앞바다에 멋진 펜션 짓고 어? 우리도 멋지게 행복하게 살 수 있어. o,0,3
지금 무슨 소릴 하는거야. 지금 어딘가에 있을거야 우리가 사람을 쳤는데 당연히 찾아서 병원에 데려가야지,2,1
오빠.,4,1
아아 내 뜻은 그게 아니라 갑자기 물어보니까 당황해서 그랬지.,0,1
그렇지. 야야 잠깐만 있어봐. 잠깐만.,0,4
뭐가 미안한데 엄마는. 내 얘기 듣지도 않으면서 맨날 씨 o c 엄마나 진짜 지연이한테 얼마나 잘해줬는데. c 나 지연이 없인 못 살아 어? 나에 유일한 버팀목 같은 사람이었다고. 내가 유일하게 사랑했던 여자라고. b 아이씨 그런 여자.,3,2
오늘 따라 왜 이래?,1,0
o 참아 참아 엄살 부리긴. o,4,0
내가 그걸 먹어보고 맛이 없으면 당신이 나가.,0,2
여진아. o,4,1
아이 자 빨리 그냥. o,4,0
N 아니 b 아니 내 뜻은 그게 아니라 o 아 갑자기 물어보니까 당황해서 그랬지.,1,0
아 진짜 진짜 세상 사람들 다 무시해 다 나만 o 무시해.,3,2
사랑해.,0,4
아이 뭐 그런 말을 해.,0,4
지리구요친오빠한테 오지구 지리구가 뭐냐.,0,2
그럼 사랑한다고 해 줘.,0,4
b 아 너무 공격적으로 생각하시는 것 아닌가요? b 저도 고민하고 심사숙고해서 낸 아이디어인데 b 아니 뭐가 문제인 건지 뭐가 부족했는지 물어볼 순 있지 않나요?,2,0
음 왔어요?,0,4
b 아 몰라. 그냥 그냥 아무거나 해 줘. 나 잘게.,0,4
여보알겠어 스팸. 응.,4,0
아 어떤 문제를 말씀하시는지.,2,1
이게 뭔데? o,1,0
o N 그치? 아 이런 선물 받으니까 막 어이가 없지? 아이.,3,0
아이 근데 그런데 김 부장까지 그러니까 그 구 그런 거잖아.,1,2
아니 이렇게 비싼 튀김 내 처음 먹어보는데 이건 뭐 탕수육도 아니고 그냥 돼지고기에다 그냥 덕지덕지 붙여놓고 튀긴 올린 거 그런 음식 아니야 지금.,2,0
전무님이 아이템을 냈으면 거기에 대해서 왜 딴지를 걸고 추가 비용이 나오면 전무님이 참 좋아하시겠네? 그렇지 않아요? 생각해봐요.,0,2
o N 그치? 이런 선물 받으니까 어이가 없지?,3,0
소리야이젠 안 만나.,0,2
b 네 뭐 알겠 알겠습니다.,0,2
o b 아이 됐어됐어. 엄마 하던거나 계속 해. b,0,2
n 대신 n 같이 살아야겠어.,4,0
지섭씨.,0,1
아냐 아니에요 엄마.,2,3
윤서 자.,4,0
100일 반지. 으휴 이 무능력한 남자야. o 여자인 내가 반지를 준비해야겠냐? 오빠인 니가 준비해야지.,4,0
아 됐어.,3,2
당신 그 요리 요리 잘해서 탄 거 같애?,4,0
그때는 내가 당신 맹장인 줄 알았으면 안 그랬지. 그때 온 아프다고 난리 치니까 내가 그런 거 아니야.,4,0
가야잘못한 게 뭐가 없어. 지금 추가 비용이 나왔다니까.,0,2
제가 과연 몰라서 이렇게 물어보는 걸까요? 제가 이렇게 얘기하는 거는 지금 우리나라에 나오고 있는 이 곰지라면하고 그쪽이 만드신 이 라면하고 차이점을 몰라서 얘기하는 겁니다.,2,0
아 봐봐 아이 아 참 아 이거 안되겠다 야야 u 너 소독 안했지 아직,0,1
좋아요.,4,2
아 됐어.,3,0
가보겠습니다아 대리님 하 씨.,2,0
고마워 근데 오빠는 꿈이 뭐야?,0,4
그래서 내가 그 모습 보고 결혼하고 싶었었잖아. 자기가 나 엄청 좋아해 주는 거 알고.,3,4
어? 저희는 문제가 없는데. 무 무슨 문제?,0,1
뭐야.,2,1
거기 마트 생긴지 두 달이 넘었어 그것도 몰라?,2,0
b 근데 제가 이 요리로 언론에서 굉장히 주목도 받았고 이슈도 됐거든요.,0,2
윤찬 대리 내가 지금 그걸 모르고 있다고 생각해요?,2,0
u 저 앞에 사람. b 우리가 친 사람 지나가고 있어. b,1,0
아시잖아요 그리고됐구요 위원회 준비나 잘하세요.,2,0
모르겠니아 모르겠고 드라마 할 시간이니까 리모콘이나 주시지?,2,0
아니요. 전 할말을 하는 거 뿐입니다. 이건 너무 억울하잖아요.,0,2
아 탕수육이라고 만든거에요?,2,0
아니라아 저도 알고 있습니다. 근데 저한테,0,2
받쳤거든아니 잠깐만 봐봐.,0,1
그니까 그 올리브 오일을 이라는게 응? 그 휘발유를 넣는지 아니면 그 몸에 발르는 그 오일을 넣는지 구분이 안 간다는 말을 하고 있는 거에요.,2,0
아니 내가 좀 별론가?,0,3
어 b 야 나 심장 뛰는 거 봐. b 나 미칠 거 같다. 이야 이씨.,4,1
아 지금 u 뭐가 있어. b 지섭씨는 여기 있어. 일단 내가 가서 보고 올게.,0,2
.,0,1
하 l 흐음 말이 조금 심하신 거 같은데,3,2
o N 아 마지막 하나 u 마지막 하나 제 제발. 제 제 제발 제발 제발,1,4
어 아들 왔어? o 장보고 왔으니까 엄마가 맛있는 거 해줄게.,0,4
아니 부장님.,2,1
네. o 매우 형편없는데요?,2,0
알겠고. 아무튼 위쪽에서 다 그렇게 얘기하시냐 얘기들 하시니까 징계위원회 열릴 거야 그런 줄 알고 있어.,2,0
아 됐어.,3,0
왜 누가 우리 아들 못한다 그랬어 누가.,3,0
아휴 여보. 내가 의사야. 어? 내가 더 잘 알지. 빨리 손 줘 봐. 소독 좀 하게.,4,0
아니 아 그게 말야 아무것도 도로에 아무것도 없어.,0,1
허 어떻게 내가 좋아하는 말만 골라서 하냐.,2,4
b 아니 그냥.,0,3
이거 받어.,0,2
내가 다 설명할게. 아니요일단 앉아봐. 흥분 가라앉히고 일단 앉아봐,0,1
응?,0,1
"n 밥은 먹는데 엄마 저 얼마 전에 그 지은이랑도 헤어지고 이랬는데 지금 제 사정 알면서 지금 이러시, 일부러 이러는 거예요? 나 너무 힘들어요 요즘에 일도 안되고 연애도 안되고 아무것도 안되는데 지금 여기서 이렇게",3,2
예? 어째서 그게,1,0
야 가만 있어라 어? 이게 다 정성을 담아야 당첨되는 거야. 나의 온 기운을 모아서 그리고 이 소망을 담아서 한땀 한땀 이 마킹한 번호의 여섯개가 빛나는 순간까지 아유 아유 본방 지켜보고 간절히 원하고 또 원하면 이게 당첨되는 거라고,0,2
o 페페로치니.,1,2
알았어. 씻고 나오면 뭐 할건데,0,4
o 그냥 해? 해가 끝이야?,0,4
웃기고 앉아있네됐고 나 드라마 봐야 되니까 꺼져.,0,2
아 뭐 어때. 나 오빠 여잔데. 오빠 내가 부끄러워?,4,0
하 미안하다. 응? 하지만 다음에 만날 때는 내가 꼭 멋진 선물 사줄게. 응? 내가 지금은 비록 중국집 배달부 밖에 안되지만 열심히 일하면 제주도 앞바다에 멋진 펜션 짓고 우리도 멋있게 행복하게 살 수 있어.,0,3
사랑을 했다요?,0,2
b 여보 고마워.,0,4
잉 고마워. b 근데 b 오빠는 꿈이 뭐야? o,0,4
아이 그럼 뭐야. b 어? 어떻게 된 건데?,0,2
o 그래도 좋다.,0,4
이제 제 이야기는 끝난 것 같군요. b 회의 시작 10분 전입니다. 저는 소은씨에게 5분을 드렸고 소은씨는 어느정도 이해한것 같군요. 버려진 5분만큼 본인을 발전 시키고 나중에 만납시다. 아 그럼 나가주시죠. o,0,2
사랑해.,0,4
100일 반지. 으이그 이 무능력한 남자야 여자인 내가 반지를 준비해야겠어? 다 오빠가 당연히 준비해야지.,4,0
네? 아뇨 없습니다.,1,0
윤찬 대리한테도이거 제가 폭로할 거예요.,1,2
네? 아이 지금 이렇게 까발려지면 안되는 거 알잖아요 전무님.,0,1
안 봐? o,2,0
당신 죽으면?,4,0
아 모르겠고 드라마 할 시간이니까 저기 리모콘좀 주시지?,2,0
진짜? 정말?,1,4
아 걱정마. 나 오빠 동생이야 동생 친동생. 나 몰라? 나 못 믿어?,4,0
괜찮았어요그니까 그거는 그쪽 얘기라고.,0,2
l 그냥 가면 돼. 아무일도 없을 거야.,4,0
엄만 내가 b 나 보기에 어때? 내가 그렇게 막 허접해 보여?,0,3
아 됐어.,3,0
b u 아 그런 얘긴.,0,2
씻고나 잠깐만 이거 근데 환불을 해줄라나 모르겠다. 어떻게 두 단을 사,0,2
아이 진짜.,0,2
옛날에 우리 결혼하기 전에 있잖아.,4,0
저 자 잠깐 이거에 대해서 얘기 좀 나눌까요?,0,1
뭐라고요? 크게.,1,4
멍멍이 소리 그만하고 보기나 해.,2,0
알겠어 얼른 씻구 나와.,0,4
아이 막 잘 나진 않았지만 못 나지도 않았어 솔직히.,3,0
n 여진아.,0,3
"아 몰라 그게 당첨되겠냐? 어후 어떤 여자가 될지 모르겠지만, 오빠 같은 남자랑 결혼 할 여자가 아주 불쌍하다 불쌍해",0,2
지섭씨 제발 그러지마.,0,1
b 말이 길었습니다. 제가 먹어보겠습니다. b 이게 무슨 맛입니까? 이게 스타강사가 만든 그런.,0,2
아 오빠 어떡해 어떡해 어떡해 어떡해. o,1,4
o 대신 프로포즈 내가 먼저 했으니까 결혼식 진짜 멋지게 해줘야 돼 알았지?,4,0
응?,0,4
고마워. 그리고 미안해 엄마.,0,3
정말로 징계위원회 가실 생각입니까?,0,2
o .,0,4
이씨아 됐고 나 드라마 봐야 돼.,0,2
o 아 미안해. 하지만 내가 다음에 만날 때는 내가 o 진짜 꼭 멋진 선물 사줄게. o 내가 지금은 비록 b 중국집 배달부밖에 안되지만 열심히 일하면은 제주도 앞바다에 멋진 펜션 짓고 우리도 멋있게 행복하게 살 수 있어.,4,0
아이 그게 아니라 갑자기 그러니까 당연히 당황하지.,1,0
왜 내가 그렇게 걱정됐어?,3,4
어 그냥 가면 돼. 어 u l 아무 일도 없어. n 어 응 아무 일도 없어,0,4
옛날 생각이 나서.,0,4
b 이 짬뽕 이거 어떻게 만든 겁니까?,0,2
에이 u.,1,4
b 아으.,4,0
아 거 모를 수도 있지 그게 뭐 대수라고.,1,0
b 근데 내가 이렇게 부른 거는,4,0
b 아이 빨리 얼른.,4,0
?,1,0
에휴 참나.,4,0
흐음 b 그거. 그게 무슨 문제가 있는 거죠?,3,0
왜요? 못하겠어요? b 이력서에 적혀있는 걸 우린 확인할 권한이 있어요. 진짜인지 가짜인지 확인해봐야죠. u 아님 적질 말던가.,0,2
아 나도 너무 놀라가지고 이것이 꿈인가? 생시인가? 싶다.,1,4
감봉이요? 제가 지금 받는 돈도 지금 몇 년째 대리를 달고 있는데 지금 감봉이라고요?,2,1
아니 그래도 이거는,0,3
아 잠시만요.,0,2
b 강 주방장님.,2,0
뭔데. o,0,1
어 성환 씨 이름이 써지긴 했지만 일단은 뭐 어 이 부분에서 제가 좀 도와드리도록 할게요.,0,1
